"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10180","register new user successfully","chromium","2026-03-08","passed","2026-03-08","Registration Test","reg.specs.js","",""
"","30156","register new user unsuccessfully","chromium","2026-03-08","broken","2026-03-08","Registration Test","reg.specs.js","",""
